id,Season,team1,team2,winner,venue,player_of_match
1,IPL-2017,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Yuvraj Singh
2,IPL-2017,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,SPD Smith
3,IPL-2017,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,CA Lynn
4,IPL-2017,Rising Pune Supergiant,Kings XI Punjab,Kings XI Punjab,Holkar Cricket Stadium,GJ Maxwell
5,IPL-2017,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,M Chinnaswamy Stadium,KM Jadhav
6,IPL-2017,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Rashid Khan
7,IPL-2017,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Wankhede Stadium,N Rana
8,IPL-2017,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Holkar Cricket Stadium,AR Patel
9,IPL-2017,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,Maharashtra Cricket Association Stadium,SV Samson
10,IPL-2017,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Wankhede Stadium,JJ Bumrah
11,IPL-2017,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens,SP Narine
12,IPL-2017,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,M Chinnaswamy Stadium,KA Pollard
13,IPL-2017,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,Saurashtra Cricket Association Stadium,AJ Tye
14,IPL-2017,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,RV Uthappa
15,IPL-2017,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla,CJ Anderson
16,IPL-2017,Gujarat Lions,Mumbai Indians,Mumbai Indians,Wankhede Stadium,N Rana
17,IPL-2017,Rising Pune Supergiant,Royal Challengers Bangalore,Rising Pune Supergiant,M Chinnaswamy Stadium,BA Stokes
18,IPL-2017,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Feroz Shah Kotla,NM Coulter-Nile
19,IPL-2017,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",B Kumar
20,IPL-2017,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,Saurashtra Cricket Association Stadium,CH Gayle
21,IPL-2017,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",KS Williamson
22,IPL-2017,Kings XI Punjab,Mumbai Indians,Mumbai Indians,Holkar Cricket Stadium,JC Buttler
23,IPL-2017,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,Eden Gardens,SK Raina
24,IPL-2017,Mumbai Indians,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,MJ McClenaghan
25,IPL-2017,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,MS Dhoni
26,IPL-2017,Kings XI Punjab,Gujarat Lions,Kings XI Punjab,Saurashtra Cricket Association Stadium,HM Amla
27,IPL-2017,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,NM Coulter-Nile
28,IPL-2017,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,Wankhede Stadium,BA Stokes
29,IPL-2017,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,RV Uthappa
30,IPL-2017,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,M Chinnaswamy Stadium,AJ Tye
31,IPL-2017,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens,G Gambhir
32,IPL-2017,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",Rashid Khan
33,IPL-2017,Rising Pune Supergiant,Royal Challengers Bangalore,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,LH Ferguson
34,IPL-2017,Gujarat Lions,Mumbai Indians,Mumbai Indians,Saurashtra Cricket Association Stadium,KH Pandya
35,IPL-2017,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Sandeep Sharma
36,IPL-2017,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",DA Warner
37,IPL-2017,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Wankhede Stadium,RG Sharma
38,IPL-2017,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,BA Stokes
39,IPL-2017,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,Feroz Shah Kotla,Mohammed Shami
40,IPL-2017,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,Eden Gardens,RA Tripathi
41,IPL-2017,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,Feroz Shah Kotla,RR Pant
42,IPL-2017,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Sandeep Sharma
43,IPL-2017,Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal",JD Unadkat
44,IPL-2017,Mumbai Indians,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,LMP Simmons
45,IPL-2017,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,M Chinnaswamy Stadium,SP Narine
46,IPL-2017,Kings XI Punjab,Gujarat Lions,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",DR Smith
47,IPL-2017,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",S Dhawan
48,IPL-2017,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",MM Sharma
49,IPL-2017,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,Green Park,SS Iyer
50,IPL-2017,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,WP Saha
51,IPL-2017,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,Feroz Shah Kotla,KK Nair
52,IPL-2017,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Green Park,Mohammed Siraj
53,IPL-2017,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,AT Rayudu
54,IPL-2017,Kings XI Punjab,Rising Pune Supergiant,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,JD Unadkat
55,IPL-2017,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,HV Patel
56,IPL-2017,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,Wankhede Stadium,Washington Sundar
57,IPL-2017,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,M Chinnaswamy Stadium,NM Coulter-Nile
58,IPL-2017,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,M Chinnaswamy Stadium,KV Sharma
59,IPL-2017,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",KH Pandya
60,IPL-2008,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,BB McCullum
61,IPL-2008,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",MEK Hussey
62,IPL-2008,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Feroz Shah Kotla,MF Maharoof
63,IPL-2008,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Wankhede Stadium,MV Boucher
64,IPL-2008,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens,DJ Hussey
65,IPL-2008,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium,SR Watson
66,IPL-2008,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",V Sehwag
67,IPL-2008,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",ML Hayden
68,IPL-2008,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",YK Pathan
69,IPL-2008,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",KC Sangakkara
70,IPL-2008,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,M Chinnaswamy Stadium,SR Watson
71,IPL-2008,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",JDP Oram
72,IPL-2008,Mumbai Indians,Deccan Chargers,Deccan Chargers,Dr DY Patil Sports Academy,AC Gilchrist
73,IPL-2008,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",SM Katich
74,IPL-2008,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,MS Dhoni
75,IPL-2008,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Eden Gardens,ST Jayasuriya
76,IPL-2008,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,Feroz Shah Kotla,GD McGrath
77,IPL-2008,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",SE Marsh
78,IPL-2008,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,SA Asnodkar
79,IPL-2008,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",V Sehwag
80,IPL-2008,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",R Vinay Kumar
81,IPL-2008,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",IK Pathan
82,IPL-2008,Mumbai Indians,Delhi Daredevils,Mumbai Indians,Dr DY Patil Sports Academy,SM Pollock
83,IPL-2008,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium,Sohail Tanvir
84,IPL-2008,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,M Chinnaswamy Stadium,S Sreesanth
85,IPL-2008,Chennai Super Kings,Deccan Chargers,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",AC Gilchrist
86,IPL-2008,Rajasthan Royals,Mumbai Indians,Mumbai Indians,Dr DY Patil Sports Academy,A Nehra
87,IPL-2008,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,Feroz Shah Kotla,MS Dhoni
88,IPL-2008,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,SC Ganguly
89,IPL-2008,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium,YK Pathan
90,IPL-2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,M Chinnaswamy Stadium,CRD Fernando
91,IPL-2008,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",L Balaji
92,IPL-2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",SC Ganguly
93,IPL-2008,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium,SR Watson
94,IPL-2008,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",SE Marsh
95,IPL-2008,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,Shoaib Akhtar
96,IPL-2008,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Wankhede Stadium,ST Jayasuriya
97,IPL-2008,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",SE Marsh
98,IPL-2008,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,Feroz Shah Kotla,A Mishra
99,IPL-2008,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Wankhede Stadium,SM Pollock
100,IPL-2008,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Feroz Shah Kotla,DPMD Jayawardene
101,IPL-2008,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,Sawai Mansingh Stadium,GC Smith
102,IPL-2008,Mumbai Indians,Deccan Chargers,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",DJ Bravo
103,IPL-2008,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Eden Gardens,M Ntini
104,IPL-2008,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,M Chinnaswamy Stadium,SP Goswami
105,IPL-2008,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Eden Gardens,YK Pathan
106,IPL-2008,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,SE Marsh
107,IPL-2008,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",A Kumble
108,IPL-2008,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",SE Marsh
109,IPL-2008,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Feroz Shah Kotla,KD Karthik
110,IPL-2008,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",JA Morkel
111,IPL-2008,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,M Chinnaswamy Stadium,P Kumar
112,IPL-2008,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens,Umar Gul
113,IPL-2008,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium,Sohail Tanvir
114,IPL-2008,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",SK Raina
115,IPL-2008,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Wankhede Stadium,SR Watson
116,IPL-2008,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Wankhede Stadium,M Ntini
117,IPL-2008,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Dr DY Patil Sports Academy,YK Pathan
118,IPL-2009,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Newlands,SR Tendulkar
119,IPL-2009,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Newlands,R Dravid
120,IPL-2009,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Newlands,DL Vettori
121,IPL-2009,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,Newlands,RP Singh
122,IPL-2009,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,St George's Park,M Muralitharan
123,IPL-2009,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Kingsmead,CH Gayle
124,IPL-2009,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,Newlands,AC Gilchrist
125,IPL-2009,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,Kingsmead,AB de Villiers
126,IPL-2009,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Newlands,YK Pathan
127,IPL-2009,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Kingsmead,RS Bopara
128,IPL-2009,Deccan Chargers,Mumbai Indians,Deccan Chargers,Kingsmead,PP Ojha
129,IPL-2009,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,St George's Park,TM Dilshan
130,IPL-2009,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,Newlands,KC Sangakkara
131,IPL-2009,Chennai Super Kings,Deccan Chargers,Deccan Chargers,Kingsmead,HH Gibbs
132,IPL-2009,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,St George's Park,SR Tendulkar
133,IPL-2009,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,SuperSport Park,YK Pathan
134,IPL-2009,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Kingsmead,MV Boucher
135,IPL-2009,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Kingsmead,KC Sangakkara
136,IPL-2009,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,SuperSport Park,DP Nannes
137,IPL-2009,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,SuperSport Park,SK Raina
138,IPL-2009,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Buffalo Park,JP Duminy
139,IPL-2009,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kingsmead,Yuvraj Singh
140,IPL-2009,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,St George's Park,YK Pathan
141,IPL-2009,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,New Wanderers Stadium,SB Jakati
142,IPL-2009,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,St George's Park,DPMD Jayawardene
143,IPL-2009,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,New Wanderers Stadium,JH Kallis
144,IPL-2009,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,Buffalo Park,MS Dhoni
145,IPL-2009,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Kingsmead,GC Smith
146,IPL-2009,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,Kingsmead,G Gambhir
147,IPL-2009,Deccan Chargers,Mumbai Indians,Deccan Chargers,SuperSport Park,RG Sharma
148,IPL-2009,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,SuperSport Park,A Singh
149,IPL-2009,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,SuperSport Park,ML Hayden
150,IPL-2009,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Buffalo Park,A Nehra
151,IPL-2009,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,De Beers Diamond Oval,DPMD Jayawardene
152,IPL-2009,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,De Beers Diamond Oval,S Badrinath
153,IPL-2009,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,St George's Park,JP Duminy
154,IPL-2009,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,New Wanderers Stadium,A Mishra
155,IPL-2009,Deccan Chargers,Rajasthan Royals,Deccan Chargers,De Beers Diamond Oval,DR Smith
156,IPL-2009,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,SuperSport Park,LRPL Taylor
157,IPL-2009,Kings XI Punjab,Mumbai Indians,Mumbai Indians,SuperSport Park,Harbhajan Singh
158,IPL-2009,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,Kingsmead,R Bhatia
159,IPL-2009,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Kingsmead,LRPL Taylor
160,IPL-2009,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Kingsmead,SK Warne
161,IPL-2009,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,OUTsurance Oval,B Lee
162,IPL-2009,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,St George's Park,ML Hayden
163,IPL-2009,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,New Wanderers Stadium,RG Sharma
164,IPL-2009,Kings XI Punjab,Deccan Chargers,Kings XI Punjab,New Wanderers Stadium,Yuvraj Singh
165,IPL-2009,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,OUTsurance Oval,AB de Villiers
166,IPL-2009,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,SuperSport Park,BJ Hodge
167,IPL-2009,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,New Wanderers Stadium,JH Kallis
168,IPL-2009,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Kingsmead,LR Shukla
169,IPL-2009,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Kingsmead,M Muralitharan
170,IPL-2009,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,SuperSport Park,V Sehwag
171,IPL-2009,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,SuperSport Park,MK Pandey
172,IPL-2009,Delhi Daredevils,Deccan Chargers,Deccan Chargers,SuperSport Park,AC Gilchrist
173,IPL-2009,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,New Wanderers Stadium,MK Pandey
174,IPL-2009,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,New Wanderers Stadium,A Kumble
175,IPL-2010,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Dr DY Patil Sports Academy,AD Mathews
176,IPL-2010,Mumbai Indians,Rajasthan Royals,Mumbai Indians,Brabourne Stadium,YK Pathan
177,IPL-2010,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",G Gambhir
178,IPL-2010,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens,MK Tiwary
179,IPL-2010,Deccan Chargers,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",WPUJC Vaas
180,IPL-2010,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,"Sardar Patel Stadium, Motera",V Sehwag
181,IPL-2010,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,M Chinnaswamy Stadium,JH Kallis
182,IPL-2010,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,MS Dhoni
183,IPL-2010,Mumbai Indians,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,SR Tendulkar
184,IPL-2010,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,M Chinnaswamy Stadium,JH Kallis
185,IPL-2010,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,Feroz Shah Kotla,ML Hayden
186,IPL-2010,Deccan Chargers,Kings XI Punjab,Deccan Chargers,Barabati Stadium,A Symonds
187,IPL-2010,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,"Sardar Patel Stadium, Motera",AA Jhunjhunwala
188,IPL-2010,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Brabourne Stadium,JH Kallis
189,IPL-2010,Deccan Chargers,Delhi Daredevils,Deccan Chargers,Barabati Stadium,A Symonds
190,IPL-2010,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",J Theron
191,IPL-2010,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Brabourne Stadium,SR Tendulkar
192,IPL-2010,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,RV Uthappa
193,IPL-2010,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",AC Voges
194,IPL-2010,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Brabourne Stadium,SR Tendulkar
195,IPL-2010,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,"Sardar Patel Stadium, Motera",YK Pathan
196,IPL-2010,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",MK Tiwary
197,IPL-2010,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,KM Jadhav
198,IPL-2010,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,"Sardar Patel Stadium, Motera",NV Ojha
199,IPL-2010,Mumbai Indians,Deccan Chargers,Mumbai Indians,Dr DY Patil Sports Academy,Harbhajan Singh
200,IPL-2010,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Feroz Shah Kotla,DA Warner
201,IPL-2010,Kings XI Punjab,Mumbai Indians,Mumbai Indians,Brabourne Stadium,SL Malinga
202,IPL-2010,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",M Vijay
203,IPL-2010,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,KD Karthik
204,IPL-2010,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Eden Gardens,SC Ganguly
205,IPL-2010,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",KP Pietersen
206,IPL-2010,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",M Vijay
207,IPL-2010,Mumbai Indians,Deccan Chargers,Mumbai Indians,Brabourne Stadium,AT Rayudu
208,IPL-2010,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,Eden Gardens,DPMD Jayawardene
209,IPL-2010,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,Feroz Shah Kotla,PD Collingwood
210,IPL-2010,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,"Vidarbha Cricket Association Stadium, Jamtha",SK Warne
211,IPL-2010,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",SK Raina
212,IPL-2010,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium,MJ Lumb
213,IPL-2010,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,SC Ganguly
214,IPL-2010,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,M Chinnaswamy Stadium,TL Suman
215,IPL-2010,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",KC Sangakkara
216,IPL-2010,Chennai Super Kings,Deccan Chargers,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha",RJ Harris
217,IPL-2010,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,M Chinnaswamy Stadium,R Vinay Kumar
218,IPL-2010,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Feroz Shah Kotla,PP Chawla
219,IPL-2010,Mumbai Indians,Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,SR Tendulkar
220,IPL-2010,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha",Harmeet Singh
221,IPL-2010,Mumbai Indians,Delhi Daredevils,Mumbai Indians,Brabourne Stadium,KA Pollard
222,IPL-2010,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",R Ashwin
223,IPL-2010,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Sawai Mansingh Stadium,KP Pietersen
224,IPL-2010,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",G Gambhir
225,IPL-2010,Kings XI Punjab,Deccan Chargers,Deccan Chargers,Himachal Pradesh Cricket Association Stadium,RG Sharma
226,IPL-2010,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,R McLaren
227,IPL-2010,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens,JD Unadkat
228,IPL-2010,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,MS Dhoni
