id,Season,team1,team2,winner,venue,player_of_match
597,IPL-2016,Mumbai Indians,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali",PA Patel
598,IPL-2016,Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,"Rajiv Gandhi International Stadium, Uppal",AB Dinda
599,IPL-2016,Gujarat Lions,Delhi Daredevils,Gujarat Lions,Feroz Shah Kotla,CH Morris
600,IPL-2016,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Wankhede Stadium,RG Sharma
601,IPL-2016,Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,Maharashtra Cricket Association Stadium,DR Smith
602,IPL-2016,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Feroz Shah Kotla,CR Brathwaite
603,IPL-2016,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",DA Warner
604,IPL-2016,Kings XI Punjab,Gujarat Lions,Kings XI Punjab,Saurashtra Cricket Association Stadium,AR Patel
605,IPL-2016,Rising Pune Supergiants,Mumbai Indians,Mumbai Indians,Maharashtra Cricket Association Stadium,RG Sharma
606,IPL-2016,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,M Chinnaswamy Stadium,AD Russell
607,IPL-2016,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,Saurashtra Cricket Association Stadium,RR Pant
608,IPL-2016,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,AD Russell
609,IPL-2016,Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,Feroz Shah Kotla,AM Rahane
610,IPL-2016,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",B Kumar
611,IPL-2016,Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bangalore,M Chinnaswamy Stadium,V Kohli
612,IPL-2016,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",MP Stoinis
613,IPL-2016,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,A Nehra
614,IPL-2016,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,Eden Gardens,P Kumar
615,IPL-2016,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali",SR Watson
616,IPL-2016,Sunrisers Hyderabad,Rising Pune Supergiants,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,A Zampa
617,IPL-2016,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,M Chinnaswamy Stadium,KH Pandya
618,IPL-2016,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",CH Morris
619,IPL-2016,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,MP Stoinis
620,IPL-2016,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,M Chinnaswamy Stadium,AB de Villiers
621,IPL-2016,Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens,YK Pathan
622,IPL-2016,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",HM Amla
623,IPL-2016,Mumbai Indians,Delhi Daredevils,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,KH Pandya
624,IPL-2016,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Eden Gardens,V Kohli
625,IPL-2016,Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,AB Dinda
626,IPL-2016,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,M Chinnaswamy Stadium,V Kohli
627,IPL-2016,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,Green Park,DR Smith
628,IPL-2016,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,KK Nair
629,IPL-2016,Kings XI Punjab,Rising Pune Supergiants,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,MS Dhoni
630,IPL-2016,Mumbai Indians,Gujarat Lions,Gujarat Lions,Green Park,SK Raina
631,IPL-2016,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,YK Pathan
632,IPL-2016,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Shaheed Veer Narayan Singh International Stadium,V Kohli
633,IPL-2016,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,M Chinnaswamy Stadium,AB de Villiers
634,IPL-2016,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Feroz Shah Kotla,MC Henriques
635,IPL-2016,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Feroz Shah Kotla,DA Warner
636,IPL-2016,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium,BCJ Cutting
7894,IPL-2018,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Wankhede Stadium,DJ Bravo
7895,IPL-2018,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",KL Rahul
7896,IPL-2018,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens,SP Narine
7897,IPL-2018,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",S Dhawan
7898,IPL-2018,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",SW Billings
7899,IPL-2018,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Sawai Mansingh Stadium,SV Samson
7900,IPL-2018,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Rashid Khan
7901,IPL-2018,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,M Chinnaswamy Stadium,UT Yadav
7902,IPL-2018,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Wankhede Stadium,JJ Roy
7903,IPL-2018,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Eden Gardens,B Stanlake
7904,IPL-2018,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,SV Samson
7905,IPL-2018,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",CH Gayle
7906,IPL-2018,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,N Rana
7907,IPL-2018,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,RG Sharma
7908,IPL-2018,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Sawai Mansingh Stadium,N Rana
7909,IPL-2018,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",CH Gayle
7910,IPL-2018,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Maharashtra Cricket Association Stadium,SR Watson
7911,IPL-2018,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,Eden Gardens,KL Rahul
7912,IPL-2018,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,M Chinnaswamy Stadium,AB de Villiers
7913,IPL-2018,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",AT Rayudu
7914,IPL-2018,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium,J Archer
7915,IPL-2018,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,AS Rajpoot
7916,IPL-2018,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,Rashid Khan
7917,IPL-2018,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,M Chinnaswamy Stadium,MS Dhoni
7918,IPL-2018,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",AS Rajpoot
7919,IPL-2018,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Feroz Shah Kotla,SS Iyer
7920,IPL-2018,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Maharashtra Cricket Association Stadium,RG Sharma
7921,IPL-2018,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Sawai Mansingh Stadium,KS Williamson
7922,IPL-2018,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,M Chinnaswamy Stadium,CA Lynn
7923,IPL-2018,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Maharashtra Cricket Association Stadium,SR Watson
7924,IPL-2018,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,TG Southee
7925,IPL-2018,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,RR Pant
7926,IPL-2018,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens,SP Narine
7927,IPL-2018,Kings XI Punjab,Mumbai Indians,Mumbai Indians,Holkar Cricket Stadium,AS Yadav
7928,IPL-2018,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Maharashtra Cricket Association Stadium,RA Jadeja
7929,IPL-2018,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Rashid Khan
7930,IPL-2018,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,HH Pandya
7931,IPL-2018,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Holkar Cricket Stadium,M Ur Rahman
7932,IPL-2018,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",KS Williamson
7933,IPL-2018,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,JC Buttler
7934,IPL-2018,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Ishan Kishan
7935,IPL-2018,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,Feroz Shah Kotla,S Dhawan
7936,IPL-2018,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium,JC Buttler
7937,IPL-2018,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Holkar Cricket Stadium,SP Narine
7938,IPL-2018,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Feroz Shah Kotla,AB de Villiers
7939,IPL-2018,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Maharashtra Cricket Association Stadium,AT Rayudu
7940,IPL-2018,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Wankhede Stadium,JC Buttler
7941,IPL-2018,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,Holkar Cricket Stadium,UT Yadav
7942,IPL-2018,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens,Kuldeep Yadav
7943,IPL-2018,Mumbai Indians,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,JJ Bumrah
7944,IPL-2018,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,M Chinnaswamy Stadium,AB de Villiers
7945,IPL-2018,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,Feroz Shah Kotla,HV Patel
7946,IPL-2018,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,Sawai Mansingh Stadium,S Gopal
7947,IPL-2018,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",CA Lynn
7948,IPL-2018,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,Feroz Shah Kotla,A Mishra
7949,IPL-2018,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Maharashtra Cricket Association Stadium,L Ngidi
7950,IPL-2018,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Wankhede Stadium,F du Plessis
7951,IPL-2018,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Eden Gardens,AD Russell
7952,IPL-2018,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Rashid Khan
7953,IPL-2018,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Wankhede Stadium,SR Watson
11137,IPL-2019,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,M. A. Chidambaram Stadium,Harbhajan Singh
11138,IPL-2019,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens,AD Russell
11139,IPL-2019,Delhi Capitals,Mumbai Indians,Delhi Capitals,Wankhede Stadium,RR Pant
11140,IPL-2019,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,CH Gayle
11141,IPL-2019,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Feroz Shah Kotla Ground,SR Watson
11142,IPL-2019,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,AD Russell
